Feature,Odds Ratio,95% CI Lower,95% CI Upper
const,1.1578456563816818e-96,0.0,inf
Relative_Compactness,0.001473509802207969,1.9756918187943813e-11,109897.25809199866
Wall_Area,1.0270657256826146,0.9967776532446201,1.0582741310845587
Overall_Height,35792065159086.24,0.0,inf
Glazing_Area,1.2722360978283006e+115,0.0,inf
Glazing_Area_Distribution,0.6069490755644998,0.34380033903067286,1.0715148838050867
